element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,1,"=""641.6307""","=""0.0010""","=""641.6307""","=""0.0010""","=""70""","=""1.16e+06""",C,"=""104102.0990""","=""119683.0821""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
Ar,2,"=""641.7417""","=""0.0008""","=""641.74436""","=""0.00005""","=""1""","=""""",,"=""195031.2028""","=""210609.4258""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""641.83696""","=""0.00019""","=""641.83726""","=""0.00007""","=""10""","=""""",,"=""196621.9658""","=""212197.9340""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<0>).6g""","=""2[4]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""642.2894""","=""0.0003""","=""642.28983""","=""0.00009""","=""7""","=""""",,"=""196633.1005""","=""212198.0935""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<0>).6g""","=""2[4]""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""642.4144""","=""0.0008""","=""642.416486""","=""0.000017""","=""1""","=""""",,"=""187589.3383""","=""203151.2627""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(1D).5p""","=""2F*""","=""5/2""",,"=""""","=""L14821""",
Ar,1,"=""""","=""""","=""643.1555""","=""0.0010""","=""""","=""5.1e+04""",D,"=""105617.2700""","=""121161.3135""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
Ar,2,"=""643.1556""","=""0.0002""","=""643.155902""","=""0.000013""","=""6""","=""""",,"=""170530.4040""","=""186074.4375""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p4.(3P).4d""","=""4F""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""643.3683""","=""0.0008""","=""643.370035""","=""0.000017""","=""1""","=""""",,"=""186891.0393""","=""202429.8993""","=""3s2.3p4.(3P).4d""","=""4P""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""7/2""",,"=""""","=""L14821""",
Ar,5,"=""643.510""","=""0.010""","=""643.512""","=""0.003""","=""*""","=""2.23e-01""",C,"=""763.236""","=""16298.66""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",M1,"=""T335,T761""","=""L3453""",
Ar,5,"=""643.510""","=""0.010""","=""643.512""","=""0.003""","=""*""","=""3.5e-04""",D,"=""763.236""","=""16298.66""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",E2,"=""T761""","=""L3453""",
