obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""57.71687""","=""0.00006""","=""57.716906""","=""0.000024""","=""a""","=""""",,"=""0.0000""","=""173259.46""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.72024""","=""0.00006""","=""57.72024""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173249.45""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).14s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.74803""","=""0.00006""","=""57.74803""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173166.08""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.74872""","=""0.00006""","=""57.74882""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173163.72""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.76038""","=""0.00006""","=""57.76045""","=""0.00004""","=""a""","=""""",,"=""0.0000""","=""173128.85""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.79649""","=""0.00006""","=""57.79649""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173020.89""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.79740""","=""0.00006""","=""57.79746""","=""0.00005""","=""a""","=""""",,"=""0.0000""","=""173017.98""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.80710""","=""0.00006""","=""57.80715""","=""0.00003""","=""a""","=""""",,"=""0.0000""","=""172988.99""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.81262""","=""0.00006""","=""57.812729""","=""0.000013""","=""a""","=""""",,"=""0.0000""","=""172972.289""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.85123""","=""0.00006""","=""57.851287""","=""0.000021""","=""a""","=""""",,"=""0.0000""","=""172857.00""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.86049""","=""0.00006""","=""57.86056""","=""0.00003""","=""a""","=""""",,"=""0.0000""","=""172829.30""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.86175""","=""0.00006""","=""57.86182""","=""0.00005""","=""a""","=""""",,"=""0.0000""","=""172825.54""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
