obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""92.31503159""","=""0.00000003""","=""92.31503159""","=""0.00000003""","=""""","=""""",,"=""0.0000000000""","=""[108324.72055]""","=""1s""","=""2S""","=""1/2""","=""9s""","=""2S""","=""1/2""",M1,"=""""","=""L15291c36""",
"=""92.3151""","=""0.0020""","=""92.31502850""","=""0.00000003""","=""""","=""5.7848e+06""",AAA,"=""0.0000000000""","=""[108324.72418]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",,"=""T7771""","=""L8445""",
"=""92.3151""","=""0.0020""","=""92.31503193""","=""0.00000003""","=""""","=""5.7847e+06""",AAA,"=""0.0000000000""","=""[108324.72016]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",,"=""T7771""","=""L8445""",
"=""""","=""""","=""92.6225665291""","=""0.0000000003""","=""""","=""""",,"=""0.0000000000""","=""107965.0497145""","=""1s""","=""2S""","=""1/2""","=""8s""","=""2S""","=""1/2""",M1,"=""""","=""""",
"=""92.6229""","=""0.0020""","=""92.6225621017""","=""0.0000000005""","=""""","=""8.2547e+06""",AAA,"=""0.0000000000""","=""[107965.0548753]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",,"=""T7771""","=""L8445""",
"=""92.6229""","=""0.0020""","=""92.6225670063""","=""0.0000000005""","=""""","=""8.2545e+06""",AAA,"=""0.0000000000""","=""[107965.0491583]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",,"=""T7771""","=""L8445""",
"=""92.6249""","=""0.0014""","=""92.6225605""","=""0.0000013""","=""11000""","=""3.8694e+05""",AAA,"=""0.0000000000""","=""107965.0568""","=""1s""","=""2S""","=""1/2""","=""8""","=""""","=""""",,"=""T8637""","=""L8834""",
"=""93.074815048""","=""0.000000020""","=""93.074815048""","=""0.000000020""","=""""","=""""",,"=""0.0000000000""","=""[107440.449866]""","=""1s""","=""2S""","=""1/2""","=""7d""","=""2D""","=""5/2""",E2,"=""""","=""L15291c37""",
"=""93.07482418""","=""0.00000003""","=""93.07482418""","=""0.00000003""","=""""","=""""",,"=""0.0000000000""","=""[107440.43933]""","=""1s""","=""2S""","=""1/2""","=""7s""","=""2S""","=""1/2""",M1,"=""""","=""L15291c36""",
"=""93.0749""","=""0.0020""","=""93.07481751""","=""0.00000003""","=""""","=""1.2362e+07""",AAA,"=""0.0000000000""","=""[107440.44703]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,"=""T7771""","=""L8445""",
"=""93.0749""","=""0.0020""","=""93.07482489""","=""0.00000003""","=""""","=""1.2362e+07""",AAA,"=""0.0000000000""","=""[107440.43850]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,"=""T7771""","=""L8445""",
"=""93.0751""","=""0.0014""","=""93.0748142""","=""0.0000020""","=""5600""","=""7.5684e+05""",AAA,"=""0.0000000000""","=""107440.4508""","=""1s""","=""2S""","=""1/2""","=""7""","=""""","=""""",,"=""T8637""","=""L8834""",
"=""93.7801""","=""0.0021""","=""93.7803361139""","=""0.0000000009""","=""""","=""1.9728e+07""",AAA,"=""0.0000000000""","=""[106632.1620756]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""L8445""",
"=""93.7801""","=""0.0021""","=""93.7803480320""","=""0.0000000009""","=""""","=""1.9728e+07""",AAA,"=""0.0000000000""","=""[106632.1485242]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""L8445""",
"=""""","=""""","=""93.7803468734""","=""0.0000000006""","=""""","=""""",,"=""0.0000000000""","=""106632.1498416""","=""1s""","=""2S""","=""1/2""","=""6s""","=""2S""","=""1/2""",M1,"=""""","=""""",
