obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""27.7142""","=""0.0008""","=""27.7142""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""44.7367""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).3d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.1200""","=""0.0010""","=""28.1200""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""44.0911""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).4s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.4290""","=""0.0010""","=""28.4290""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.6118""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).5s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.5350""","=""0.0010""","=""28.5350""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.4499""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).4s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.5701""","=""0.0008""","=""28.5701""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""43.3965""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).4s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""28.5710""","=""0.0010""","=""28.5710""","=""0.0010""","=""D,a""","=""""",,"=""0.000000000""","=""43.3951""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).19p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.5730""","=""0.0010""","=""28.5730""","=""0.0010""","=""D,a""","=""""",,"=""0.000000000""","=""43.3921""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).18p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.5770""","=""0.0010""","=""28.5770""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.3860""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).17p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.5820""","=""0.0010""","=""28.5820""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.3785""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).16p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.5860""","=""0.0010""","=""28.5860""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.3724""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).15p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
